,id,sentence,subject_entity,object_entity,label
0,9741,고상환 울산항만공사 사장은 “앞으로도 지속적이고 적극적인 예방활동을 통해 울산항 운영에 차질이 없도록 전 임직원이 최선을 다하겠다”고 말했다., '울산항만공사', '울산항 운영',no_relation
1,9742,"1979년 순천농업대학 도서관으로 개관, 1982년 순천대학교 도서관으로 개편, 1989년 신축 전 개관, 1991년 순천대학교 도서관으로 개편, 1991년 제43회 국립대학교 도서관협회 총회를 개최하고 1992년에 기록관을 개관했다. 1995년 메인컴퓨터 도입, 1996년 학술정보시스템 운영, 1996년 제27회 도서관 및 정보과학세미나 개최, 1997년 도서관 증축, 1998년 인터넷 온라인 서비스 제공, 무인도서대여 및 반납 2001년 전자정보실 개원, 2001년 학술정보센터 증설 개원, 2004년 도서관 명칭 변경, 2007년 단과대학(학과) 사서제 시행. (조직개편 학술정보지원팀 및 학술정보서비스팀)", '순천대학교', '국립대학',no_relation
2,9743,카푸는 2013년 8월 18일 셀허스트 파크에서 열린 크리스탈 팰리스 FC와의 원정 경기에서 무사 뎀벨레 대신 교체되어 토트넘에 데뷔했습니다. 이 경기에서 토트넘은 1-0으로 승리했습니다., '크리스탈 팰리스 FC', '셀허스트 파크',no_relation
3,9744,"제12회 취임식에는 이진모 부산광역시대학협력단장, 하정인 대학협력국장, 김철범 경성대학교 교무처장, 이남주 부총장이 참석했다. 기획 사장, 12기 프로그램 시작을 축하합니다.", '경성대', '김철범',org:top_members/employees
4,9745,"대회 결과 2007년 K리그 우승팀 포항 스틸러스가 첫 더블(리그, FA컵 모두 우승)을 노렸으나 실패했고, 전남드래곤즈는 FA컵 첫 2연패로 마감했다. .", '포항 스틸러스', '2007',no_relation
5,9746,"자산운용공사는 최근 서울중앙지검 '전두환 미납금징수특무팀'의 의뢰로 전두환 연희동 주택을 공매했으나 낙찰 직전(3. 21), Mr. 현재 소송이 진행 중입니다.", '전두환', '연희동',org:place_of_headquarters
6,9747,그리고 《이탈리아 독립 전사》를 통해 이탈리아 통일왕국의 비토리오 에마누엘레 2세와 주세페 가리발디 등 이탈리아 통일의 주역들을 조선에 소개했다., '주세페 가리발디', '비토리오 에마누엘레 2세',no_relation
7,9748,"또한 같은 날 오후 2시 40분에는 내각 하부에 위치한 전남콘텐츠코리아 연구실 세미나실(2층)에서 권태성 국민권익위원회 부위원장의 발언을 직접 들었다. 중소기업청, 중소기업진흥공단, 시장번영회 등 지역경제인들의 목소리와 규제개혁 제도의 변화와 제도 개선을 반영하기 위해 '중소기업협회 관계자 간담회'를 개최한다.", '국민권익위원회', '권태성',org:top_members/employees
8,9749,"이용우, 변관식 등 동양화가들의 모음집으로 동연사를 조직하고, 조선미술대전에서 다수의 입상을 하며 자신만의 화풍을 확립했다.", '변관식', '동양화',per:title
9,9750,9월 24일(화) 인천시설공단(회장 김영분)이 광명 오리서원 일대 청렴사적지를 탐방하는 시간을 가졌다., '인천시설공단', '김영분',org:top_members/employees
10,9751,지원 확대는 LG그룹의 수장으로서 기업의 사회적 역할을 강조해온 구광모 회장의 의지 덕분으로 평가된다., '구광모', 'LG그룹',per:employee_of
11,9752,6회초에는 휴스턴 우익수 조시 레딕의 다이빙 캐치에 브렛 가드너의 대형 방망이가 걸렸다., '조시 레딕', '우익수',per:title
12,9753,919년 박언창은 연락이 두절된 고향에서 자립하고 조국을 후사벌왕이라 개호하였다. 군사 수비대로서 방어가 완벽했습니다., '박언창', '후사벌왕',per:alternate_names
13,9754,"1976년 시즌 후, 1977년에 그는 뉴욕 양키스와 5년 296만 달러 계약을 체결했습니다.", '뉴욕 양키스', '1977',no_relation
14,9755,그는 1919년에 프랑스 축구 연맹(FFF)을 설립하고 1949년까지 회장을 역임했습니다., '프랑스 축구 연맹', '1919년',org:founded
15,9756,디에고 다 실바 코스타(Diego da Silva Costa) 또는 디에고 다 실바 코스타(Diego da Silva Costa)는 브라질 출신의 스페인 축구 선수로 현재 라 리가의 아틀레티코 마드리드와 스페인 축구 국가대표팀에서 스트라이커로 활약하고 있다., '스페인', '마드리드',org:place_of_headquarters
16,9757,"The Pirate Party는 스웨덴에서 80만에서 110만 사이의 파일 공유자를 보고 있으며 그 중 최소 225,000명(스웨덴 유권자의 4%)이 해적당에 투표하고 스웨덴 의회에 입성할 것이라고 주장합니다. .", '해적당', '스웨덴',org:place_of_headquarters
